##### Qwen/Qwen3-1.7B #####
  refund     skill_tok= 616 | full=correct precompiled=correct | agree=True logit-cos=0.989
  access     skill_tok= 617 | full=correct precompiled=correct | agree=True logit-cos=0.987
  deploy     skill_tok= 607 | full=wrong   precompiled=wrong   | agree=True logit-cos=0.988
  rx         skill_tok= 614 | full=wrong   precompiled=wrong   | agree=True logit-cos=0.989
  [self-contained] full_correct=2/4 precompiled_correct=2/4 | precompiled==full: 4/4 | mean logit-cos=0.988
##### Qwen/Qwen3-4B #####
  refund     skill_tok= 616 | full=correct precompiled=correct | agree=True logit-cos=0.999
  access     skill_tok= 617 | full=correct precompiled=correct | agree=True logit-cos=0.999
  deploy     skill_tok= 607 | full=wrong   precompiled=wrong   | agree=True logit-cos=0.999
  rx         skill_tok= 614 | full=wrong   precompiled=wrong   | agree=True logit-cos=0.999
  [self-contained] full_correct=2/4 precompiled_correct=2/4 | precompiled==full: 4/4 | mean logit-cos=0.999
##### Qwen/Qwen3-14B #####
  refund     skill_tok= 616 | full=wrong   precompiled=wrong   | agree=True logit-cos=0.971
  access     skill_tok= 617 | full=wrong   precompiled=wrong   | agree=True logit-cos=0.967
  deploy     skill_tok= 607 | full=wrong   precompiled=wrong   | agree=True logit-cos=0.957
  rx         skill_tok= 614 | full=wrong   precompiled=wrong   | agree=True logit-cos=0.966
  [self-contained] full_correct=0/4 precompiled_correct=0/4 | precompiled==full: 4/4 | mean logit-cos=0.965
##### unsloth/gemma-2-9b-it #####
  refund     skill_tok= 638 | full=correct precompiled=correct | agree=True logit-cos=0.995
  access     skill_tok= 643 | full=correct precompiled=correct | agree=True logit-cos=0.999
  deploy     skill_tok= 630 | full=correct precompiled=correct | agree=True logit-cos=0.999
  rx         skill_tok= 634 | full=correct precompiled=correct | agree=True logit-cos=0.998
  [self-contained] full_correct=4/4 precompiled_correct=4/4 | precompiled==full: 4/4 | mean logit-cos=0.998
##### mistralai/Mistral-7B-Instruct-v0.3 #####
  refund     skill_tok= 672 | full=correct precompiled=correct | agree=True logit-cos=0.995
  access     skill_tok= 670 | full=correct precompiled=correct | agree=True logit-cos=0.998
  deploy     skill_tok= 662 | full=correct precompiled=correct | agree=True logit-cos=0.997
  rx         skill_tok= 670 | full=correct precompiled=correct | agree=True logit-cos=0.997
  [self-contained] full_correct=4/4 precompiled_correct=4/4 | precompiled==full: 4/4 | mean logit-cos=0.996
===C2_GEN_DONE===
